name,price,currency,rating,reviews_count,availability,url,image_url,source,scraped_at,confidence
"var aPageStart = (new Date()).getTime(); var ue_t0=ue_t0||+new Date(); window.ue_ihb = (window.ue_ihb || window.ueinit || 0) + 1; if (window.ue_ihb === 1) { var ue_csm = window, ue",500.0,INR,4.4,36,In Stock,https://www.amazon.in/s?i=home-improvement&rh=n%3A95174669031%2Cp_36%3A20000-150000%2Cp_72%3A1318476031&_encoding=UTF8,,meta,2026-04-01T12:49:12.892886Z,0.565
"var aPageStart = (new Date()).getTime(); var ue_t0=ue_t0||+new Date(); window.ue_ihb = (window.ue_ihb || window.ueinit || 0) + 1; if (window.ue_ihb === 1) { var ue_csm = window, ue",500.0,INR,4.2,36,In Stock,https://www.amazon.in/s?i=kitchen&rh=n%3A95174669031%2Cp_36%3A20000-150000%2Cp_72%3A1318476031&page=2&_encoding=UTF8&qid=1775047752&xpid=THkeKGRGwDYUk&ref=sr_pg_1,,meta,2026-04-01T12:49:15.037570Z,0.565
"var aPageStart = (new Date()).getTime(); var ue_t0=ue_t0||+new Date(); window.ue_ihb = (window.ue_ihb || window.ueinit || 0) + 1; if (window.ue_ihb === 1) { var ue_csm = window, ue",200.0,INR,4.0,36,In Stock,https://www.amazon.in/s?i=kitchen&rh=n%3A95174669031%2Cp_36%3A20000-150000%2Cp_72%3A1318476031&page=3&_encoding=UTF8&qid=1775047755&xpid=THkeKGRGwDYUk&ref=sr_pg_2,,meta,2026-04-01T12:49:15.935174Z,0.565
.in Delivering to Manipal 576104 Update location Tools store Tools store All Categories Alexa Skills Amazon Devices Amazon Fashion Amazon Fresh Amazon Pharmacy Appliances Apps & Ga,500.0,,,,Out of Stock,https://www.amazon.in/ref=nav_logo,,dom,2026-04-01T12:49:23.487752Z,0.5522
"Makita D-75758 HSS-Cobalt Drill bit set for Stainless steel (2,3,4,5,6 & 8mm) 4.3",968.0,,4.3,138.0,Out of Stock,https://www.amazon.in/Makita-D-75758-HSS-CO-Drill-Stainless/dp/B0B5LV3LB7/ref=sr_1_49?_encoding=UTF8&dib=eyJ2IjoiMSJ9.IYXUG60IycFh8zgieyQGo-j4njJi8Tpxr-UJRkMmNk_5oqoGrN-zvbhLZ5eShuc40ZV8fv9BMJm1gf0rCrfcYmkMenNapfHwkD57ZlHRsnVAqAXrY5QOH7k65MyjvMeazn-kk9AldiU-P8MnNeYbJbZlW8r_VVd263CIxWlKHa-WHSy2xBGfu8tLekWpaU7Qn5fOM8w3bXQO0gH2OfZpndJ6JSeCvyG4HL6VaDtDi_k3p_9a79lFvsSk1UDXibOYLMC1uNLqnRggXHKQRWvUxW1OGximFbSVAgEPlrjRHcA.on-EVRmdEPtVGHOi4IHw69vaYOhsnHBEc8JxJQXk1MA&dib_tag=se&qid=1775047756&refinements=p_36%3A20000-150000%2Cp_72%3A1318476031&s=kitchen&sr=1-49&xpid=THkeKGRGwDYUk,https://m.media-amazon.com/images/I/51tmsxTuESL._AC_UL320_.jpg,dom,2026-04-01T12:49:23.488013Z,0.8074
"Best seller BOSCH 5-piece CYL-1 Masonry Drill Bit Set, For Professionals, Compact and Portable, Two-Cutter Tip, 2-flute U-shape, Impact Drill Compatibility, 5 Masonry Bits of 4mm, 5mm, 6mm, 8mm,and 10mm 4.2 4.2 out of 5",250.0,,4.2,12400.0,Out of Stock,https://www.amazon.in/5-piece-Professionals-Portable-Two-Cutter-Compatibility/dp/B00863NRHQ/ref=sr_1_50?_encoding=UTF8&dib=eyJ2IjoiMSJ9.IYXUG60IycFh8zgieyQGo-j4njJi8Tpxr-UJRkMmNk_5oqoGrN-zvbhLZ5eShuc40ZV8fv9BMJm1gf0rCrfcYmkMenNapfHwkD57ZlHRsnVAqAXrY5QOH7k65MyjvMeazn-kk9AldiU-P8MnNeYbJbZlW8r_VVd263CIxWlKHa-WHSy2xBGfu8tLekWpaU7Qn5fOM8w3bXQO0gH2OfZpndJ6JSeCvyG4HL6VaDtDi_k3p_9a79lFvsSk1UDXibOYLMC1uNLqnRggXHKQRWvUxW1OGximFbSVAgEPlrjRHcA.on-EVRmdEPtVGHOi4IHw69vaYOhsnHBEc8JxJQXk1MA&dib_tag=se&qid=1775047756&refinements=p_36%3A20000-150000%2Cp_72%3A1318476031&s=kitchen&sr=1-50&xpid=THkeKGRGwDYUk,https://m.media-amazon.com/images/I/715kF0XQMEL._AC_UL320_.jpg,dom,2026-04-01T12:49:23.488275Z,0.8074
"Groz Double Piston Grease Gun with 6"" Extension, Coupler | 3x Output | 12 Months Warranty | High Volume Grease Gun | Discharge Upto 2.4 gm/s | For Regular Greasing Applications| G2R/B 4.2",1172.0,,4.2,231.0,Out of Stock,https://www.amazon.in/mechanism-voluminous-applications-Discharge-extension/dp/B08K8H98QP/ref=sr_1_51?_encoding=UTF8&dib=eyJ2IjoiMSJ9.IYXUG60IycFh8zgieyQGo-j4njJi8Tpxr-UJRkMmNk_5oqoGrN-zvbhLZ5eShuc40ZV8fv9BMJm1gf0rCrfcYmkMenNapfHwkD57ZlHRsnVAqAXrY5QOH7k65MyjvMeazn-kk9AldiU-P8MnNeYbJbZlW8r_VVd263CIxWlKHa-WHSy2xBGfu8tLekWpaU7Qn5fOM8w3bXQO0gH2OfZpndJ6JSeCvyG4HL6VaDtDi_k3p_9a79lFvsSk1UDXibOYLMC1uNLqnRggXHKQRWvUxW1OGximFbSVAgEPlrjRHcA.on-EVRmdEPtVGHOi4IHw69vaYOhsnHBEc8JxJQXk1MA&dib_tag=se&qid=1775047756&refinements=p_36%3A20000-150000%2Cp_72%3A1318476031&s=kitchen&sr=1-51&xpid=THkeKGRGwDYUk,https://m.media-amazon.com/images/I/41EE9uus9OL._AC_UL320_.jpg,dom,2026-04-01T12:49:23.488526Z,0.8074
Taparia PTB-19 Plastic Tool Box with Organizer (Multicolour) 4.4,1499.0,,4.4,2600.0,Out of Stock,https://www.amazon.in/Taparia-PTB-19-Plastic-Organizer-Multicolour/dp/B0769HL9DL/ref=sr_1_52?_encoding=UTF8&dib=eyJ2IjoiMSJ9.IYXUG60IycFh8zgieyQGo-j4njJi8Tpxr-UJRkMmNk_5oqoGrN-zvbhLZ5eShuc40ZV8fv9BMJm1gf0rCrfcYmkMenNapfHwkD57ZlHRsnVAqAXrY5QOH7k65MyjvMeazn-kk9AldiU-P8MnNeYbJbZlW8r_VVd263CIxWlKHa-WHSy2xBGfu8tLekWpaU7Qn5fOM8w3bXQO0gH2OfZpndJ6JSeCvyG4HL6VaDtDi_k3p_9a79lFvsSk1UDXibOYLMC1uNLqnRggXHKQRWvUxW1OGximFbSVAgEPlrjRHcA.on-EVRmdEPtVGHOi4IHw69vaYOhsnHBEc8JxJQXk1MA&dib_tag=se&qid=1775047756&refinements=p_36%3A20000-150000%2Cp_72%3A1318476031&s=kitchen&sr=1-52&xpid=THkeKGRGwDYUk,https://m.media-amazon.com/images/I/71Ouaa3B0RL._AC_UL320_.jpg,dom,2026-04-01T12:49:23.488739Z,0.8074
FREEMANS 5-inch Double Net Cut off Wheels Used for Metal and Stainless Steel Cutting Pack of 25 pcs - Green 4.1,635.0,,4.1,44.0,Out of Stock,https://www.amazon.in/FREEMANS-5-inch-Double-Stainless-Cutting/dp/B09ZHZD2JB/ref=sr_1_53?_encoding=UTF8&dib=eyJ2IjoiMSJ9.IYXUG60IycFh8zgieyQGo-j4njJi8Tpxr-UJRkMmNk_5oqoGrN-zvbhLZ5eShuc40ZV8fv9BMJm1gf0rCrfcYmkMenNapfHwkD57ZlHRsnVAqAXrY5QOH7k65MyjvMeazn-kk9AldiU-P8MnNeYbJbZlW8r_VVd263CIxWlKHa-WHSy2xBGfu8tLekWpaU7Qn5fOM8w3bXQO0gH2OfZpndJ6JSeCvyG4HL6VaDtDi_k3p_9a79lFvsSk1UDXibOYLMC1uNLqnRggXHKQRWvUxW1OGximFbSVAgEPlrjRHcA.on-EVRmdEPtVGHOi4IHw69vaYOhsnHBEc8JxJQXk1MA&dib_tag=se&qid=1775047756&refinements=p_36%3A20000-150000%2Cp_72%3A1318476031&s=kitchen&sr=1-53&xpid=THkeKGRGwDYUk,https://m.media-amazon.com/images/I/81jNZYuZE3L._AC_UL320_.jpg,dom,2026-04-01T12:49:23.488965Z,0.8074
FREEMANS FM30 Grey Magic Fibreglass Measuring Tape - 30m/100ft With Unbreakable ABS Case || Durable Winding Mechanism Handle and Steel End Hook || Grey Color 4.3,239.0,,4.3,3700.0,Out of Stock,https://www.amazon.in/Freemans-GM30-Grey-Magic-Measuring/dp/B010M5I2Q6/ref=sr_1_54?_encoding=UTF8&dib=eyJ2IjoiMSJ9.IYXUG60IycFh8zgieyQGo-j4njJi8Tpxr-UJRkMmNk_5oqoGrN-zvbhLZ5eShuc40ZV8fv9BMJm1gf0rCrfcYmkMenNapfHwkD57ZlHRsnVAqAXrY5QOH7k65MyjvMeazn-kk9AldiU-P8MnNeYbJbZlW8r_VVd263CIxWlKHa-WHSy2xBGfu8tLekWpaU7Qn5fOM8w3bXQO0gH2OfZpndJ6JSeCvyG4HL6VaDtDi_k3p_9a79lFvsSk1UDXibOYLMC1uNLqnRggXHKQRWvUxW1OGximFbSVAgEPlrjRHcA.on-EVRmdEPtVGHOi4IHw69vaYOhsnHBEc8JxJQXk1MA&dib_tag=se&qid=1775047756&refinements=p_36%3A20000-150000%2Cp_72%3A1318476031&s=kitchen&sr=1-54&xpid=THkeKGRGwDYUk,https://m.media-amazon.com/images/I/41nCOzPZvpL._AC_UL320_.jpg,dom,2026-04-01T12:49:23.489203Z,0.8074
